Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1319948,Singhs Fd Serv Inc dba Burger King 16003,5550 S Watt Ave,,Sacramento,CA,95826,    ,SACRAMENTO,Restaurant Meals Program,38.525593,-121.37091,,,-13510947.898316234,4653942.874788968
1320028,La Morena Food Mart n/a,4128 El Camino Ave,,Sacramento,CA,95821,6676,SACRAMENTO,Convenience Store,38.610256,-121.36753,,,-13510571.638437355,4665996.859047315
1322950,Long Cheng Market,6241 Franklin Blvd,,Sacramento,CA,95824,3446,SACRAMENTO,Grocery Store,38.512863,-121.46795,,,-13521750.341702815,4652131.65473539
1323908,Cigarette Land,4215 Norwood Ave,Ste 11,Sacramento,CA,95838,4933,SACRAMENTO,Convenience Store,38.645451,-121.45695,,,-13520525.827304088,4671011.969018517
1324676,Natomas Wine And Spirits,1620 W El Camino Ave,Ste 155,Sacramento,CA,95833,3631,SACRAMENTO,Convenience Store,38.612568,-121.4996,,,-13525273.60358642,4666326.231860463
1325125,Prit Market,3946 Martin Luther King Jr Blvd,,Sacramento,CA,95820,2723,SACRAMENTO,Convenience Store,38.538826,-121.4648,,,-13521399.685306815,4655826.001174211
1325148,Quality Cigarettes Plus,988 El Camino Ave,,Sacramento,CA,95815,2529,SACRAMENTO,Convenience Store,38.610847,-121.44412,,,-13519097.59823721,4666081.053250532
1325261,Sj Market Dollar Plus,2541 Del Paso Blvd,,Sacramento,CA,95815,2510,SACRAMENTO,Convenience Store,38.613441,-121.44632,,,-13519342.501116956,4666450.604199856
1325738,Indian Cash & Carry,3150 Macon Dr,,Sacramento,CA,95835,2676,SACRAMENTO,Grocery Store,38.679825,-121.53099,,,-13528767.922402421,4675912.468896756
1325969,SF Supermarket,5820 S Land Park Dr,,Sacramento,CA,95822,3311,SACRAMENTO,Super Store,38.520702,-121.51225,,,-13526681.795144955,4653246.947085519
1327922,International Rescue Committee New Roots Farmstand,3130 Wright St,Bohemian Park,Sacramento,CA,95821,    ,SACRAMENTO,Farmers and Markets,38.622314,-121.40601,GusNIP,California Department of Food and Agriculture,-13514855.21244308,4667714.786031689
1328059,Sprouts Farmers Market 434,2735 Marconi Ave,,Sacramento,CA,95821,4913,SACRAMENTO,Supermarket,38.618042,-121.39828,,,-13513994.712779246,4667106.112753388
1328253,Papa Murphy's Pizza CA095,2805 Marconi Ave,Ste 3,Sacramento,CA,95821,5219,SACRAMENTO,Specialty Store,38.617989,-121.39762,,,-13513921.241915325,4667098.561556968
1328453,Papa Murphy's Take And Bake Pizza Number Ca112 CA112,3557 Bradshaw Rd,Ste 2D,Sacramento,CA,95827,3373,SACRAMENTO,Specialty Store,38.558353,-121.3361,,,-13507072.866841722,4658605.430194918
1329103,Subway #41775,700 N 10th St,,Sacramento,CA,95811,0338,SACRAMENTO,Restaurant Meals Program,38.598282,-121.48627,,,-13523789.714774149,4664291.185394862
1329785,Sun Up Market,2620 T St,,Sacramento,CA,95816,7360,SACRAMENTO,Convenience Store,38.563179,-121.47585,,,-13522629.765680082,4659292.468473014
1330386,S&s Madison Llc 83689,4700 Madison Ave,,Sacramento,CA,95841,2517,SACRAMENTO,Convenience Store,38.660877,-121.35481,,,-13509155.654514462,4673210.87256564
1337785,Preet Food And Liquor Inc,9689 Folsom Blvd,,Sacramento,CA,95827,1202,SACRAMENTO,Convenience Store,38.572365,-121.33685,,,-13507156.356459815,4660600.3319055075
1345857,AMRIT & HARMAN INC SUBWAY 2748,7623 Power Inn Rd,,Sacramento,CA,95828,4918,SACRAMENTO,Restaurant Meals Program,38.48064,-121.40849,,,-13515131.284780247,4647548.407974115
1348144,Haggin Oaks Market,3560 Del Paso Blvd,,Sacramento,CA,95838,4037,SACRAMENTO,Convenience Store,38.63081,-121.4183,,,-13516223.328984927,4668925.401330331
1350333,Soni's Supermarket,7400 Elsie Ave,,Sacramento,CA,95828,4805,SACRAMENTO,Grocery Store,38.473846,-121.41737,,,-13516119.801858492,4646582.323213925
1350676,7 Eleven 2365-18185d 18185D,5791 Broadway,,Sacramento,CA,95820,1801,SACRAMENTO,Convenience Store,38.547001,-121.43822,,,-13518440.813241532,4656989.520337294
